Name,Jobs,Machines,AverageMachines,MaxDissimilarity,Beta-Value,C
6_Fattahi2,2,2, 1.5,10.0000,0.7500,7.5000
6_Fattahi7,3,5, 2,27.0000,0.4000,10.8000
6_Fattahi10,4,5, 1.7,32.4000,0.3400,11.0160
2a_Hurink_sdata1,6,6, 1,72.0000,0.1667,12.0000
6_Fattahi1,2,2, 2,12.0000,1.0000,12.0000
6_Fattahi6,3,3, 1.6,23.4000,0.5333,12.4800
6_Fattahi8,3,4, 2,27.0000,0.5000,13.5000
6_Fattahi3,3,2, 1.7,16.2000,0.8500,13.7700
6_Fattahi4,3,2, 1.7,16.2000,0.8500,13.7700
2a_Hurink_sdata55,7,7, 1,98.0000,0.1429,14.0000
2b_Hurink_edata1,6,6, 1.15,77.4000,0.1917,14.8350
4_ChambersBarnes3,10,13, 1,200.0000,0.0769,15.3846
4_ChambersBarnes5,10,13, 1,200.0000,0.0769,15.3846
2a_Hurink_sdata54,8,9, 1,144.0000,0.1111,16.0000
2a_Hurink_sdata56,8,8, 1,128.0000,0.1250,16.0000
4_ChambersBarnes2,10,12, 1,200.0000,0.0833,16.6667
4_ChambersBarnes4,10,12, 1,200.0000,0.0833,16.6667
4_ChambersBarnes7,10,12, 1,200.0000,0.0833,16.6667
2b_Hurink_edata55,7,7, 1.15,105.3500,0.1643,17.3075
6_Fattahi11,5,6, 2.2,48.0000,0.3667,17.6000
6_Fattahi5,3,2, 2,18.0000,1.0000,18.0000
6_Fattahi9,3,3, 2,27.0000,0.6667,18.0000
4_ChambersBarnes1,10,11, 1,200.0000,0.0909,18.1818
4_ChambersBarnes6,10,11, 1,200.0000,0.0909,18.1818
2b_Hurink_edata54,8,9, 1.15,154.8000,0.1278,19.7800
2b_Hurink_edata56,8,8, 1.15,137.6000,0.1437,19.7800
2a_Hurink_sdata63,10,10, 1,198.0000,0.1000,19.8000
2a_Hurink_sdata2,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata4,10,5, 1,100.0000,0.2000,20.0000
2a_Hurink_sdata5,10,5, 1,100.0000,0.2000,20.0000
2a_Hurink_sdata6,10,5, 1,100.0000,0.2000,20.0000
2a_Hurink_sdata7,10,5, 1,100.0000,0.2000,20.0000
2a_Hurink_sdata8,10,5, 1,100.0000,0.2000,20.0000
2a_Hurink_sdata19,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata20,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata21,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata22,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata23,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata44,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata45,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata53,10,6, 1,120.0000,0.1667,20.0000
2a_Hurink_sdata57,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata58,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata59,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata60,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata61,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata62,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata64,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata65,10,10, 1,200.0000,0.1000,20.0000
2a_Hurink_sdata66,10,10, 1,200.0000,0.1000,20.0000
6_Fattahi12,5,7, 2.7,55.5000,0.3857,21.4071
2a_Hurink_sdata49,11,5, 1,110.0000,0.2000,22.0000
4_ChambersBarnes10,15,13, 1,300.0000,0.0769,23.0769
4_ChambersBarnes12,15,13, 1,300.0000,0.0769,23.0769
2a_Hurink_sdata51,12,5, 1,120.0000,0.2000,24.0000
2b_Hurink_edata63,10,10, 1.15,212.8500,0.1150,24.4777
2b_Hurink_edata2,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata4,10,5, 1.15,107.5000,0.2300,24.7250
2b_Hurink_edata5,10,5, 1.15,107.5000,0.2300,24.7250
2b_Hurink_edata6,10,5, 1.15,107.5000,0.2300,24.7250
2b_Hurink_edata7,10,5, 1.15,107.5000,0.2300,24.7250
2b_Hurink_edata8,10,5, 1.15,107.5000,0.2300,24.7250
2b_Hurink_edata19,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata20,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata21,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata22,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata23,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata44,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata45,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata53,10,6, 1.15,129.0000,0.1917,24.7250
2b_Hurink_edata57,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata58,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata59,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata60,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata61,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata62,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata64,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata65,10,10, 1.15,215.0000,0.1150,24.7250
2b_Hurink_edata66,10,10, 1.15,215.0000,0.1150,24.7250
4_ChambersBarnes9,15,12, 1,300.0000,0.0833,25.0000
4_ChambersBarnes11,15,12, 1,300.0000,0.0833,25.0000
4_ChambersBarnes14,15,12, 1,300.0000,0.0833,25.0000
4_ChambersBarnes17,15,18, 1,450.0000,0.0556,25.0000
4_ChambersBarnes19,15,18, 1,450.0000,0.0556,25.0000
6_Fattahi13,6,7, 2.7,66.6000,0.3857,25.6886
2a_Hurink_sdata50,13,4, 1,104.0000,0.2500,26.0000
4_ChambersBarnes16,15,17, 1,450.0000,0.0588,26.4706
4_ChambersBarnes18,15,17, 1,450.0000,0.0588,26.4706
4_ChambersBarnes21,15,17, 1,450.0000,0.0588,26.4706
2b_Hurink_edata49,11,5, 1.15,118.2500,0.2300,27.1975
4_ChambersBarnes8,15,11, 1,300.0000,0.0909,27.2727
4_ChambersBarnes13,15,11, 1,300.0000,0.0909,27.2727
2a_Hurink_sdata52,14,4, 1,112.0000,0.2500,28.0000
6_Fattahi15,7,7, 2.6,75.6000,0.3714,28.0800
4_ChambersBarnes15,15,16, 1,450.0000,0.0625,28.1250
4_ChambersBarnes20,15,16, 1,450.0000,0.0625,28.1250
2b_Hurink_edata51,12,5, 1.15,129.0000,0.2300,29.6700
6_Fattahi14,7,7, 2.7,77.7000,0.3857,29.9700
2a_Hurink_sdata9,15,5, 1,150.0000,0.2000,30.0000
2a_Hurink_sdata10,15,5, 1,150.0000,0.2000,30.0000
2a_Hurink_sdata11,15,5, 1,150.0000,0.2000,30.0000
2a_Hurink_sdata12,15,5, 1,150.0000,0.2000,30.0000
2a_Hurink_sdata13,15,5, 1,150.0000,0.2000,30.0000
2a_Hurink_sdata24,15,10, 1,300.0000,0.1000,30.0000
2a_Hurink_sdata25,15,10, 1,300.0000,0.1000,30.0000
2a_Hurink_sdata26,15,10, 1,300.0000,0.1000,30.0000
2a_Hurink_sdata27,15,10, 1,300.0000,0.1000,30.0000
2a_Hurink_sdata28,15,10, 1,300.0000,0.1000,30.0000
2a_Hurink_sdata39,15,15, 1,450.0000,0.0667,30.0000
2a_Hurink_sdata40,15,15, 1,450.0000,0.0667,30.0000
2a_Hurink_sdata41,15,15, 1,450.0000,0.0667,30.0000
2a_Hurink_sdata42,15,15, 1,450.0000,0.0667,30.0000
2a_Hurink_sdata43,15,15, 1,450.0000,0.0667,30.0000
6_Fattahi16,8,7, 2.6,86.4000,0.3714,32.0914
2b_Hurink_edata50,13,4, 1.15,111.8000,0.2875,32.1425
2b_Hurink_edata52,14,4, 1.15,120.4000,0.2875,34.6150
2c_Hurink_rdata1,6,6, 2,108.0000,0.3333,36.0000
6_Fattahi18,9,8, 2.4,122.4000,0.3000,36.7200
2b_Hurink_edata9,15,5, 1.15,161.2500,0.2300,37.0875
2b_Hurink_edata10,15,5, 1.15,161.2500,0.2300,37.0875
2b_Hurink_edata11,15,5, 1.15,161.2500,0.2300,37.0875
2b_Hurink_edata12,15,5, 1.15,161.2500,0.2300,37.0875
2b_Hurink_edata13,15,5, 1.15,161.2500,0.2300,37.0875
2b_Hurink_edata24,15,10, 1.15,322.5000,0.1150,37.0875
2b_Hurink_edata25,15,10, 1.15,322.5000,0.1150,37.0875
2b_Hurink_edata26,15,10, 1.15,322.5000,0.1150,37.0875
2b_Hurink_edata27,15,10, 1.15,322.5000,0.1150,37.0875
2b_Hurink_edata28,15,10, 1.15,322.5000,0.1150,37.0875
2b_Hurink_edata39,15,15, 1.15,483.7500,0.0767,37.0875
2b_Hurink_edata40,15,15, 1.15,483.7500,0.0767,37.0875
2b_Hurink_edata41,15,15, 1.15,483.7500,0.0767,37.0875
